iter	Passed	Remaining
0	130	130859
1	131	65851
2	132	44131
3	133	33280
4	134	26769
5	135	22433
6	136	19342
7	137	17018
8	139	15367
9	140	13912
10	141	12707
11	142	11711
12	143	10867
13	144	10146
14	144	9516
15	145	8963
16	146	8477
17	147	8045
18	148	7657
19	149	7304
20	149	6988
21	150	6701
22	152	6491
23	153	6249
24	154	6043
25	155	5843
26	156	5652
27	157	5472
28	158	5306
29	159	5153
30	160	5009
31	161	4874
32	162	4748
33	162	4628
34	163	4514
35	164	4406
36	166	4329
37	167	4252
38	169	4177
39	170	4098
40	171	4018
41	172	3941
42	173	3872
43	175	3803
44	176	3735
45	177	3670
46	177	3608
47	178	3547
48	182	3532
49	183	3477
50	183	3422
51	184	3369
52	185	3318
53	186	3269
54	187	3222
55	188	3177
56	189	3132
57	190	3089
58	191	3048
59	191	3007
60	192	2967
61	195	2951
62	196	2915
63	196	2878
64	197	2841
65	198	2807
66	199	2774
67	200	2742
68	200	2710
69	201	2680
70	202	2650
71	203	2620
72	204	2591
73	204	2564
74	205	2537
75	206	2511
76	209	2505
77	210	2483
78	211	2460
79	212	2438
80	213	2417
81	214	2395
82	214	2369
83	215	2349
84	216	2330
85	217	2309
86	218	2290
87	219	2272
88	220	2252
89	220	2234
90	221	2215
91	224	2211
92	225	2195
93	226	2179
94	227	2163
95	228	2148
96	229	2132
97	229	2116
98	230	2099
99	231	2083
100	232	2068
101	233	2053
102	234	2038
103	234	2023
104	235	2009
105	237	2004
106	238	1991
107	239	1978
108	240	1964
109	241	1952
110	242	1939
111	242	1926
112	243	1913
113	244	1901
114	245	1889
115	246	1876
116	246	1863
117	247	1851
118	248	1840
119	249	1828
120	250	1817
121	252	1814
122	253	1804
123	253	1793
124	254	1783
125	255	1773
126	256	1762
127	257	1752
128	258	1742
129	258	1732
130	259	1723
131	260	1714
132	261	1704
133	262	1695
134	263	1686
135	263	1676
136	264	1668
137	266	1667
138	267	1659
139	268	1651
140	269	1642
141	270	1632
142	270	1623
143	271	1615
144	272	1607
145	273	1599
146	274	1591
147	275	1583
148	275	1575
149	276	1568
150	277	1560
151	278	1553
152	279	1546
153	281	1545
154	282	1539
155	283	1532
156	284	1525
157	284	1517
158	285	1510
159	286	1504
160	287	1495
161	287	1488
162	288	1482
163	289	1475
164	290	1469
165	291	1463
166	292	1457
167	292	1450
168	293	1444
169	296	1445
170	298	1448
171	299	1441
172	300	1435
173	301	1429
174	302	1423
175	302	1417
176	303	1411
177	304	1405
178	305	1399
179	305	1393
180	306	1388
181	307	1382
182	308	1376
183	310	1376
184	311	1373
185	312	1368
186	313	1363
187	314	1359
188	315	1354
189	316	1349
190	317	1344
191	318	1339
192	319	1334
193	319	1328
194	320	1323
195	321	1318
196	322	1313
197	323	1308
198	324	1307
199	325	1303
200	326	1298
201	327	1293
202	328	1289
203	329	1285
204	330	1280
205	331	1275
206	331	1270
207	332	1265
208	333	1260
209	333	1255
210	334	1250
211	335	1245
212	335	1241
213	336	1236
214	337	1231
215	339	1231
216	339	1226
217	340	1221
218	341	1216
219	342	1213
220	342	1208
221	343	1204
222	344	1201
223	345	1198
224	346	1193
225	347	1189
226	348	1185
227	349	1181
228	349	1177
229	350	1173
230	351	1169
231	353	1171
232	354	1167
233	355	1164
234	356	1160
235	357	1156
236	358	1152
237	358	1149
238	359	1145
239	360	1141
240	361	1137
241	361	1133
242	362	1130
243	363	1126
244	364	1123
245	365	1119
246	365	1115
247	367	1115
248	368	1112
249	369	1108
250	370	1105
251	371	1101
252	372	1098
253	372	1095
254	373	1091
255	374	1088
256	375	1085
257	376	1081
258	376	1078
259	377	1075
260	378	1071
261	379	1068
262	380	1065
263	381	1063
264	382	1061
265	383	1058
266	384	1056
267	385	1053
268	386	1050
269	388	1049
270	390	1051
271	392	1049
272	393	1047
273	394	1044
274	398	1049
275	400	1051
276	402	1049
277	404	1050
278	405	1048
279	406	1046
280	407	1043
281	409	1041
282	411	1043
283	413	1041
284	414	1039
285	415	1036
286	416	1035
287	418	1035
288	420	1035
289	422	1034
290	423	1032
291	426	1035
292	427	1032
293	428	1029
294	429	1027
295	430	1024
296	431	1021
297	432	1018
298	433	1016
299	434	1014
300	435	1011
301	436	1009
302	437	1006
303	440	1009
304	441	1006
305	442	1004
306	443	1001
307	444	998
308	445	995
309	446	992
310	446	989
311	447	987
312	448	984
313	449	981
314	450	978
315	451	976
316	452	974
317	452	971
318	454	970
319	456	970
320	457	968
321	458	965
322	459	963
323	460	961
324	461	958
325	462	956
326	463	953
327	464	950
328	464	948
329	465	945
330	466	942
331	468	943
332	470	942
333	471	939
334	472	937
335	473	936
336	475	934
337	475	931
338	476	929
339	477	926
340	478	924
341	479	921
342	479	919
343	480	916
344	481	914
345	484	915
346	485	913
347	486	911
348	487	908
349	488	907
350	489	905
351	490	903
352	491	900
353	492	898
354	492	895
355	493	893
356	494	890
357	495	888
358	497	888
359	499	887
360	499	885
361	500	882
362	502	880
363	503	879
364	503	876
365	504	874
366	505	871
367	506	869
368	507	867
369	508	865
370	508	862
371	509	860
372	511	858
373	512	858
374	513	856
375	514	854
376	515	852
377	516	850
378	517	848
379	518	846
380	519	843
381	520	841
382	520	839
383	521	837
384	522	834
385	523	832
386	524	830
387	526	830
388	527	828
389	528	826
390	529	824
391	530	823
